Essay_1	Essay_2	Order_1	Order_2
4355	3375	1_1	1_2
4581	5224	1_1	1_2
4483	3159	1_1	1_2
5334	3665	1_1	1_2
5074	4666	1_1	1_2
4602	5044	1_1	1_2
5119	5320	1_1	1_2
4812	3863	1_1	1_2
3573	4431	1_1	1_2
4710	5235	1_1	1_2
4846	5326	1_1	1_2
4993	4325	1_1	1_2
5027	5150	1_1	1_2
5183	5383	1_1	1_2
4880	4152	1_1	1_2
2295	4642	1_1	1_2
5238	5360	1_1	1_2
4478	5280	1_1	1_2
5002	4874	1_1	1_2
4792	5257	1_1	1_2
5032	5085	1_1	1_2
3715	5211	1_1	1_2
5103	5249	1_1	1_2
3685	5156	1_1	1_2
5120	5303	1_1	1_2
3236	4734	1_1	1_2
5047	4344	1_1	1_2
5232	2866	1_1	1_2
4854	4122	1_1	1_2
3307	3532	1_1	1_2
3563	4372	1_1	1_2
5406	3071	1_1	1_2
4646	2643	1_1	1_2
5058	5351	1_1	1_2
4904	2496	1_1	1_2
4536	4260	1_1	1_2
3024	4707	1_1	1_2
2679	3756	1_1	1_2
5374	3622	1_1	1_2
4492	3348	1_1	1_2
4766	4832	1_1	1_2
2719	4311	1_1	1_2
4662	3229	1_1	1_2
4826	3566	1_1	1_2
3716	5142	1_1	1_2
5278	4077	1_1	1_2
4582	4736	1_1	1_2
5180	5113	1_1	1_2
4517	5339	1_1	1_2
4378	4888	1_1	1_2
5259	4869	1_1	1_2
4843	3291	1_1	1_2
3657	5095	1_1	1_2
4999	4962	1_1	1_2
4972	4879	1_1	1_2
4115	4215	1_1	1_2
4797	4810	1_1	1_2
4528	5090	1_1	1_2
4168	5004	1_1	1_2
4992	5333	1_1	1_2
4568	5371	1_1	1_2
5000	5398	1_1	1_2
4553	5229	1_1	1_2
5390	3960	1_1	1_2
3044	4317	1_1	1_2
5023	4876	1_1	1_2
4644	4447	1_1	1_2
4892	4852	1_1	1_2
4984	5195	1_1	1_2
4704	4983	1_1	1_2
3870	5306	1_1	1_2
4764	3407	1_1	1_2
3310	4900	1_1	1_2
5363	5065	1_1	1_2
3500	2339	1_1	1_2
5219	4453	1_1	1_2
5220	5234	1_1	1_2
4460	5329	1_1	1_2
3599	4689	1_1	1_2
4563	4825	1_1	1_2
4915	5053	1_1	1_2
5269	4024	1_1	1_2
5338	4958	1_1	1_2
4870	4953	1_1	1_2
5165	4019	1_1	1_2
4671	4825	1_1	1_2
4355	4466	1_1	1_3
4581	5379	1_1	1_3
5334	2901	1_1	1_3
5119	5356	1_1	1_3
4812	5348	1_1	1_3
5369	4441	1_1	1_3
5178	5092	1_1	1_3
3573	4362	1_1	1_3
4710	4890	1_1	1_3
4846	5284	1_1	1_3
4993	4228	1_1	1_3
5027	5012	1_1	1_3
5183	3792	1_1	1_3
4880	2838	1_1	1_3
5260	5221	1_1	1_3
5163	4521	1_1	1_3
5238	4623	1_1	1_3
4013	4980	1_1	1_3
5336	3844	1_1	1_3
5015	5083	1_1	1_3
4478	4240	1_1	1_3
5002	4687	1_1	1_3
4792	5010	1_1	1_3
4775	5295	1_1	1_3
4931	5350	1_1	1_3
5032	4978	1_1	1_3
3715	1926	1_1	1_3
5103	5327	1_1	1_3
5120	5370	1_1	1_3
3902	4705	1_1	1_3
4460	5289	1_1	1_3
3599	4175	1_1	1_3
2879	5022	1_1	1_3
5338	4985	1_1	1_3
4870	3585	1_1	1_3
4355	5217	1_1	1_4
4581	5337	1_1	1_4
4483	4914	1_1	1_4
5334	5283	1_1	1_4
5074	4948	1_1	1_4
4602	4966	1_1	1_4
5119	3123	1_1	1_4
4812	5206	1_1	1_4
5369	5098	1_1	1_4
5178	4333	1_1	1_4
3573	5305	1_1	1_4
4846	5122	1_1	1_4
4993	4678	1_1	1_4
5027	4840	1_1	1_4
5408	5087	1_1	1_4
4880	4676	1_1	1_4
5260	4518	1_1	1_4
5163	3958	1_1	1_4
5238	4821	1_1	1_4
4013	4112	1_1	1_4
5336	4322	1_1	1_4
5015	4538	1_1	1_4
4775	5117	1_1	1_4
4931	4616	1_1	1_4
5032	5243	1_1	1_4
3715	5069	1_1	1_4
4094	5373	1_1	1_4
3685	4866	1_1	1_4
5278	3635	1_1	1_4
4582	4003	1_1	1_4
5180	5296	1_1	1_4
4517	5403	1_1	1_4
5259	4205	1_1	1_4
4843	4236	1_1	1_4
3657	4284	1_1	1_4
4999	5209	1_1	1_4
4972	4883	1_1	1_4
4115	3323	1_1	1_4
4797	4218	1_1	1_4
3902	4316	1_1	1_4
5220	4512	1_1	1_4
4460	4935	1_1	1_4
3599	3963	1_1	1_4
4563	5104	1_1	1_4
4915	4957	1_1	1_4
5269	5297	1_1	1_4
2879	4183	1_1	1_4
5338	4970	1_1	1_4
5165	3781	1_1	1_4
4671	5104	1_1	1_4
4355	5310	1_1	1_5
4483	4541	1_1	1_5
4649	4713	1_1	1_5
5074	4872	1_1	1_5
4602	5169	1_1	1_5
5119	5343	1_1	1_5
4812	4300	1_1	1_5
5369	4424	1_1	1_5
5178	5086	1_1	1_5
3573	4565	1_1	1_5
4710	4564	1_1	1_5
4846	5020	1_1	1_5
4993	5275	1_1	1_5
5027	3989	1_1	1_5
5183	4839	1_1	1_5
5408	4270	1_1	1_5
5260	5304	1_1	1_5
5163	4145	1_1	1_5
5238	5034	1_1	1_5
4013	5301	1_1	1_5
5336	3819	1_1	1_5
5015	4700	1_1	1_5
4478	5345	1_1	1_5
5002	5043	1_1	1_5
4792	5387	1_1	1_5
4775	4743	1_1	1_5
4931	4257	1_1	1_5
5032	2697	1_1	1_5
5103	4921	1_1	1_5
4094	4439	1_1	1_5
3685	4773	1_1	1_5
5278	4375	1_1	1_5
4582	3877	1_1	1_5
5180	4427	1_1	1_5
4517	5133	1_1	1_5
4990	4324	1_1	1_5
4378	5391	1_1	1_5
5259	2836	1_1	1_5
4843	5130	1_1	1_5
4999	5033	1_1	1_5
4972	4884	1_1	1_5
4115	4906	1_1	1_5
4797	5340	1_1	1_5
5220	4800	1_1	1_5
4460	5346	1_1	1_5
3599	4655	1_1	1_5
4563	4917	1_1	1_5
4915	3966	1_1	1_5
5269	4502	1_1	1_5
2879	4971	1_1	1_5
5338	3471	1_1	1_5
5165	5394	1_1	1_5
4671	4917	1_1	1_5
4013	4436	1_1	1_6
5336	5268	1_1	1_6
5015	5386	1_1	1_6
4397	5157	1_1	1_6
4792	4661	1_1	1_6
4775	5298	1_1	1_6
4931	3267	1_1	1_6
5032	4473	1_1	1_6
5103	5251	1_1	1_6
4094	4732	1_1	1_6
3685	4952	1_1	1_6
4355	4488	1_1	2_1
4483	4838	1_1	2_1
4649	4500	1_1	2_1
5334	4673	1_1	2_1
5074	4937	1_1	2_1
4602	4197	1_1	2_1
5119	4533	1_1	2_1
4812	4878	1_1	2_1
5369	5332	1_1	2_1
5178	4829	1_1	2_1
4710	5375	1_1	2_1
4846	2768	1_1	2_1
4846	5382	1_1	2_1
4993	5409	1_1	2_1
5408	4974	1_1	2_1
4880	4223	1_1	2_1
5260	5233	1_1	2_1
5163	5155	1_1	2_1
2295	4831	1_1	2_1
5238	5256	1_1	2_1
4013	4343	1_1	2_1
5336	4458	1_1	2_1
5015	5302	1_1	2_1
4397	5202	1_1	2_1
4478	4858	1_1	2_1
5002	4192	1_1	2_1
4775	5216	1_1	2_1
4775	5188	1_1	2_1
5032	4073	1_1	2_1
3715	5225	1_1	2_1
5103	5179	1_1	2_1
5103	4392	1_1	2_1
4094	4298	1_1	2_1
3685	4573	1_1	2_1
5047	1798	1_1	2_1
5232	4101	1_1	2_1
3307	3098	1_1	2_1
3563	3614	1_1	2_1
5406	4000	1_1	2_1
4646	4583	1_1	2_1
0530	5402	1_1	2_1
5058	5078	1_1	2_1
4904	3795	1_1	2_1
3024	4901	1_1	2_1
5374	2868	1_1	2_1
5374	3442	1_1	2_1
4492	3969	1_1	2_1
4766	3974	1_1	2_1
2719	5407	1_1	2_1
4826	5207	1_1	2_1
3716	4824	1_1	2_1
5278	3702	1_1	2_1
5180	4818	1_1	2_1
4517	5011	1_1	2_1
4378	4276	1_1	2_1
4378	4522	1_1	2_1
5259	4595	1_1	2_1
3657	4432	1_1	2_1
4999	4967	1_1	2_1
4972	5080	1_1	2_1
4115	5367	1_1	2_1
4797	5136	1_1	2_1
4528	5266	1_1	2_1
4168	3789	1_1	2_1
4992	3050	1_1	2_1
5000	5070	1_1	2_1
4553	5108	1_1	2_1
5390	5236	1_1	2_1
3044	4702	1_1	2_1
5023	4862	1_1	2_1
4644	3895	1_1	2_1
4892	3043	1_1	2_1
4984	4578	1_1	2_1
4704	5114	1_1	2_1
3870	4213	1_1	2_1
4764	5141	1_1	2_1
3310	5088	1_1	2_1
5363	5182	1_1	2_1
3500	3560	1_1	2_1
5220	4209	1_1	2_1
4460	5381	1_1	2_1
4915	5267	1_1	2_1
5269	5055	1_1	2_1
5338	5239	1_1	2_1
5165	4816	1_1	2_1
4355	4767	1_1	2_2
4581	4559	1_1	2_2
4483	5159	1_1	2_2
4649	4201	1_1	2_2
5334	4596	1_1	2_2
5074	5128	1_1	2_2
4602	5097	1_1	2_2
5119	4576	1_1	2_2
4812	4677	1_1	2_2
5369	5105	1_1	2_2
5178	5385	1_1	2_2
3573	5335	1_1	2_2
5027	5168	1_1	2_2
5183	4860	1_1	2_2
5408	5396	1_1	2_2
4880	5201	1_1	2_2
5260	4813	1_1	2_2
5260	5054	1_1	2_2
5163	4399	1_1	2_2
5238	5397	1_1	2_2
5336	5089	1_1	2_2
5015	5212	1_1	2_2
4478	5274	1_1	2_2
5002	4472	1_1	2_2
4792	5312	1_1	2_2
4775	4942	1_1	2_2
4931	5029	1_1	2_2
4931	5197	1_1	2_2
5032	4920	1_1	2_2
5032	4323	1_1	2_2
3715	5021	1_1	2_2
3685	4235	1_1	2_2
5278	3572	1_1	2_2
4582	2584	1_1	2_2
5180	4748	1_1	2_2
4517	4219	1_1	2_2
4990	2854	1_1	2_2
4378	5276	1_1	2_2
5259	4288	1_1	2_2
3657	4509	1_1	2_2
4972	4230	1_1	2_2
4115	5166	1_1	2_2
4797	5030	1_1	2_2
4528	5244	1_1	2_2
4168	5203	1_1	2_2
4992	4940	1_1	2_2
4568	4552	1_1	2_2
5000	4951	1_1	2_2
4553	4411	1_1	2_2
5390	4445	1_1	2_2
3044	4514	1_1	2_2
5023	4793	1_1	2_2
4644	3498	1_1	2_2
4892	5355	1_1	2_2
4984	4523	1_1	2_2
4704	4922	1_1	2_2
3870	4648	1_1	2_2
4764	4607	1_1	2_2
5363	4477	1_1	2_2
3500	5245	1_1	2_2
5219	4750	1_1	2_2
5220	4359	1_1	2_2
4460	5321	1_1	2_2
3599	4626	1_1	2_2
4563	4987	1_1	2_2
4915	4450	1_1	2_2
5269	4285	1_1	2_2
2879	5109	1_1	2_2
5338	5262	1_1	2_2
4870	3950	1_1	2_2
5165	4364	1_1	2_2
4671	4987	1_1	2_2
4355	5050	1_1	2_3
4483	4699	1_1	2_3
4649	4544	1_1	2_3
5334	5137	1_1	2_3
5074	4212	1_1	2_3
5119	5308	1_1	2_3
4812	5313	1_1	2_3
5369	5079	1_1	2_3
5178	4654	1_1	2_3
3573	5331	1_1	2_3
4846	3993	1_1	2_3
4993	5263	1_1	2_3
5027	4833	1_1	2_3
5183	4023	1_1	2_3
5408	5365	1_1	2_3
4880	3784	1_1	2_3
5163	5352	1_1	2_3
5238	5286	1_1	2_3
4013	4508	1_1	2_3
5336	4419	1_1	2_3
5015	4534	1_1	2_3
4397	5123	1_1	2_3
4478	5139	1_1	2_3
5002	5273	1_1	2_3
4775	5082	1_1	2_3
5032	4659	1_1	2_3
5103	4278	1_1	2_3
4094	4886	1_1	2_3
3685	4929	1_1	2_3
5120	5258	1_1	2_3
3236	3529	1_1	2_3
5047	4271	1_1	2_3
5232	4018	1_1	2_3
4854	3897	1_1	2_3
3307	2833	1_1	2_3
3563	4410	1_1	2_3
5406	5252	1_1	2_3
5058	4994	1_1	2_3
4536	5281	1_1	2_3
3024	4950	1_1	2_3
5374	4043	1_1	2_3
4766	2281	1_1	2_3
2719	5325	1_1	2_3
4662	4828	1_1	2_3
4826	5248	1_1	2_3
3716	4647	1_1	2_3
5278	4280	1_1	2_3
4582	5061	1_1	2_3
5180	4548	1_1	2_3
5180	4630	1_1	2_3
4517	4855	1_1	2_3
4990	5204	1_1	2_3
4378	2504	1_1	2_3
5259	4703	1_1	2_3
4843	4256	1_1	2_3
3657	5364	1_1	2_3
4972	5198	1_1	2_3
4115	4253	1_1	2_3
4797	5177	1_1	2_3
4168	5322	1_1	2_3
4568	4762	1_1	2_3
5000	5174	1_1	2_3
4553	5132	1_1	2_3
5390	4493	1_1	2_3
3044	4461	1_1	2_3
5023	4718	1_1	2_3
4644	5347	1_1	2_3
4892	3391	1_1	2_3
4984	5395	1_1	2_3
4704	5246	1_1	2_3
3870	5279	1_1	2_3
4764	5215	1_1	2_3
3310	5366	1_1	2_3
5363	4426	1_1	2_3
3500	4049	1_1	2_3
5219	4239	1_1	2_3
5220	4731	1_1	2_3
4460	5265	1_1	2_3
4563	5129	1_1	2_3
4915	5399	1_1	2_3
5269	4790	1_1	2_3
2879	5316	1_1	2_3
5338	4574	1_1	2_3
4870	3875	1_1	2_3
5165	4961	1_1	2_3
4671	5129	1_1	2_3
4355	4779	1_1	2_4
4581	2829	1_1	2_4
4483	4561	1_1	2_4
4649	3380	1_1	2_4
5334	4864	1_1	2_4
5074	5361	1_1	2_4
4602	3609	1_1	2_4
5119	3618	1_1	2_4
4812	5401	1_1	2_4
5369	5226	1_1	2_4
5178	4794	1_1	2_4
4710	4751	1_1	2_4
4846	5051	1_1	2_4
4993	3752	1_1	2_4
5027	5084	1_1	2_4
5183	4090	1_1	2_4
5408	4033	1_1	2_4
4880	4126	1_1	2_4
5260	4696	1_1	2_4
5163	5019	1_1	2_4
2295	2605	1_1	2_4
5238	4807	1_1	2_4
4013	3970	1_1	2_4
4013	4849	1_1	2_4
4397	4837	1_1	2_4
4478	5059	1_1	2_4
4478	5324	1_1	2_4
5002	5190	1_1	2_4
4792	5213	1_1	2_4
4775	4304	1_1	2_4
4931	3617	1_1	2_4
4931	4405	1_1	2_4
3715	4440	1_1	2_4
3715	3353	1_1	2_4
5103	5167	1_1	2_4
4094	5349	1_1	2_4
3685	4496	1_1	2_4
5120	3129	1_1	2_4
5120	5025	1_1	2_4
3236	4798	1_1	2_4
5047	4924	1_1	2_4
5232	3773	1_1	2_4
4854	1294	1_1	2_4
3307	3564	1_1	2_4
3563	5071	1_1	2_4
5406	2291	1_1	2_4
4646	4238	1_1	2_4
5058	4817	1_1	2_4
4536	4946	1_1	2_4
3024	4545	1_1	2_4
4492	5184	1_1	2_4
2719	3597	1_1	2_4
4826	2956	1_1	2_4
3716	4893	1_1	2_4
2178	4161	1_1	2_4
4528	4663	1_1	2_4
4168	4720	1_1	2_4
4992	4711	1_1	2_4
4568	5040	1_1	2_4
4553	3999	1_1	2_4
5390	5368	1_1	2_4
5023	3889	1_1	2_4
4644	5357	1_1	2_4
4892	4612	1_1	2_4
4984	2213	1_1	2_4
4704	5039	1_1	2_4
3870	4421	1_1	2_4
4764	3245	1_1	2_4
3310	3718	1_1	2_4
5363	5342	1_1	2_4
5219	5164	1_1	2_4
5220	4714	1_1	2_4
4460	2933	1_1	2_4
4915	4462	1_1	2_4
5269	5307	1_1	2_4
2879	4264	1_1	2_4
2879	4996	1_1	2_4
5338	5237	1_1	2_4
4870	4189	1_1	2_4
5165	5052	1_1	2_4
2178	4217	1_1	2_5
4528	4934	1_1	2_5
4528	4745	1_1	2_5
4168	4434	1_1	2_5
4992	3342	1_1	2_5
4992	4667	1_1	2_5
4568	5187	1_1	2_5
5000	4519	1_1	2_5
5000	4913	1_1	2_5
4553	4916	1_1	2_5
4553	5077	1_1	2_5
4553	4154	1_1	2_5
5390	4697	1_1	2_5
5390	3925	1_1	2_5
3044	3541	1_1	2_5
3044	4455	1_1	2_5
4644	4515	1_1	2_5
4984	5149	1_1	2_5
4984	5068	1_1	2_5
4984	4653	1_1	2_5
4704	4907	1_1	2_5
4704	4889	1_1	2_5
4704	4945	1_1	2_5
3870	4622	1_1	2_5
3870	4722	1_1	2_5
3310	4998	1_1	2_5
3310	4231	1_1	2_5
5363	4281	1_1	2_5
5363	4755	1_1	2_5
3500	4348	1_1	2_5
5219	1942	1_1	2_5
5224	5379	1_2	1_3
3527	4062	1_2	1_3
3665	2901	1_2	1_3
3863	5348	1_2	1_3
3375	4466	1_2	1_3
5320	5356	1_2	1_3
5235	4890	1_2	1_3
5360	4623	1_2	1_3
5150	5012	1_2	1_3
5383	3792	1_2	1_3
5311	4881	1_2	1_3
4152	2838	1_2	1_3
5326	5284	1_2	1_3
4325	4228	1_2	1_3
4431	4362	1_2	1_3
3678	5288	1_2	1_3
5205	5393	1_2	1_3
5280	4240	1_2	1_3
4874	4687	1_2	1_3
5257	5010	1_2	1_3
4744	5255	1_2	1_3
4560	4979	1_2	1_3
3813	3106	1_2	1_3
5247	5261	1_2	1_3
5085	4978	1_2	1_3
5211	1926	1_2	1_3
3926	5096	1_2	1_3
5249	5327	1_2	1_3
5303	5370	1_2	1_3
4958	4985	1_2	1_3
4694	4495	1_2	1_3
5329	5289	1_2	1_3
4953	3585	1_2	1_3
4689	4175	1_2	1_3
5224	5337	1_2	1_4
3159	4914	1_2	1_4
3527	5214	1_2	1_4
3665	5283	1_2	1_4
3863	5206	1_2	1_4
3375	5217	1_2	1_4
5044	4966	1_2	1_4
5320	3123	1_2	1_4
5360	4821	1_2	1_4
5150	4840	1_2	1_4
4152	4676	1_2	1_4
4666	4948	1_2	1_4
5326	5122	1_2	1_4
4325	4678	1_2	1_4
4431	5305	1_2	1_4
3678	4464	1_2	1_4
3678	4169	1_2	1_4
4465	5060	1_2	1_4
5205	4107	1_2	1_4
4744	5294	1_2	1_4
4560	5377	1_2	1_4
3813	5392	1_2	1_4
5277	4346	1_2	1_4
5085	5243	1_2	1_4
5211	5069	1_2	1_4
3926	4930	1_2	1_4
5156	4866	1_2	1_4
4962	5209	1_2	1_4
4879	4883	1_2	1_4
4077	3635	1_2	1_4
4215	3323	1_2	1_4
4736	4003	1_2	1_4
4810	4218	1_2	1_4
4869	4205	1_2	1_4
5113	5296	1_2	1_4
5339	5403	1_2	1_4
5076	4332	1_2	1_4
5317	5240	1_2	1_4
3291	4236	1_2	1_4
5095	4284	1_2	1_4
2118	4532	1_2	1_4
4958	4970	1_2	1_4
5234	4512	1_2	1_4
4694	3187	1_2	1_4
5329	4935	1_2	1_4
4689	3963	1_2	1_4
4019	3781	1_2	1_4
4825	5104	1_2	1_4
5053	4957	1_2	1_4
4024	5297	1_2	1_4
3159	4838	1_2	2_1
3527	4570	1_2	2_1
3665	4673	1_2	2_1
3863	4878	1_2	2_1
4642	4831	1_2	2_1
3375	4488	1_2	2_1
5044	4197	1_2	2_1
5320	4533	1_2	2_1
5235	5375	1_2	2_1
5360	5256	1_2	2_1
4152	4223	1_2	2_1
4666	4937	1_2	2_1
5326	2768	1_2	2_1
5326	5382	1_2	2_1
4325	5409	1_2	2_1
3678	3574	1_2	2_1
3678	5121	1_2	2_1
4465	5116	1_2	2_1
5205	4709	1_2	2_1
5280	4858	1_2	2_1
4874	4192	1_2	2_1
4965	4261	1_2	2_1
4744	3761	1_2	2_1
4560	5362	1_2	2_1
4560	4803	1_2	2_1
3813	5158	1_2	2_1
5277	4554	1_2	2_1
5247	4708	1_2	2_1
5085	4073	1_2	2_1
5211	5225	1_2	2_1
3926	4885	1_2	2_1
5249	5179	1_2	2_1
5249	4392	1_2	2_1
5156	4573	1_2	2_1
5142	4824	1_2	2_1
3348	3969	1_2	2_1
5351	5078	1_2	2_1
2496	3795	1_2	2_1
4707	4901	1_2	2_1
4344	1798	1_2	2_1
4832	3974	1_2	2_1
3071	4000	1_2	2_1
3566	5207	1_2	2_1
3622	2868	1_2	2_1
3622	3442	1_2	2_1
2866	4101	1_2	2_1
3532	3098	1_2	2_1
4372	3614	1_2	2_1
4311	5407	1_2	2_1
2643	4583	1_2	2_1
4962	4967	1_2	2_1
4879	5080	1_2	2_1
4077	3702	1_2	2_1
4215	5367	1_2	2_1
4888	4276	1_2	2_1
4888	4522	1_2	2_1
4810	5136	1_2	2_1
4869	4595	1_2	2_1
5113	4818	1_2	2_1
5339	5011	1_2	2_1
5076	5291	1_2	2_1
5317	4668	1_2	2_1
5095	4432	1_2	2_1
5090	5266	1_2	2_1
5004	3789	1_2	2_1
5333	3050	1_2	2_1
5398	5070	1_2	2_1
5229	5108	1_2	2_1
3960	5236	1_2	2_1
4317	4702	1_2	2_1
4876	4862	1_2	2_1
4447	3895	1_2	2_1
4852	3043	1_2	2_1
5195	4578	1_2	2_1
4983	5114	1_2	2_1
5306	4213	1_2	2_1
3407	5141	1_2	2_1
4900	5088	1_2	2_1
4600	4380	1_2	2_1
5065	5182	1_2	2_1
2339	3560	1_2	2_1
4958	5239	1_2	2_1
5234	4209	1_2	2_1
5329	5381	1_2	2_1
4019	4816	1_2	2_1
5053	5267	1_2	2_1
4024	5055	1_2	2_1
3159	4699	1_2	2_3
3527	4905	1_2	2_3
3665	5137	1_2	2_3
3863	5313	1_2	2_3
3375	5050	1_2	2_3
5320	5308	1_2	2_3
5360	5286	1_2	2_3
5150	4833	1_2	2_3
5383	4023	1_2	2_3
5311	5013	1_2	2_3
4152	3784	1_2	2_3
4666	4212	1_2	2_3
5326	3993	1_2	2_3
4325	5263	1_2	2_3
4431	5331	1_2	2_3
3678	5344	1_2	2_3
4465	4796	1_2	2_3
5280	5139	1_2	2_3
4874	5273	1_2	2_3
4965	4742	1_2	2_3
4744	5024	1_2	2_3
4560	5405	1_2	2_3
3813	3824	1_2	2_3
5277	4963	1_2	2_3
5247	5250	1_2	2_3
5085	4659	1_2	2_3
3926	4988	1_2	2_3
